city,geography_code,geography_name,industry_name,number_of_jobs,median_income_dollars
Adelaide,40105,Norwood - Payneham - St Peters,public_administration_safety,2062,64135
Adelaide,40105,Norwood - Payneham - St Peters,rental,651,33470
Adelaide,40105,Norwood - Payneham - St Peters,retail_trade,2709,16062
Adelaide,40105,Norwood - Payneham - St Peters,total,31382,29832
Adelaide,40105,Norwood - Payneham - St Peters,transport,553,55124
Adelaide,40105,Norwood - Payneham - St Peters,wholesale_trade,936,47924
Adelaide,40106,Prospect - Walkerville,accommodation_food_services,2496,8004
Adelaide,40106,Prospect - Walkerville,administrative_support_services,2257,12375
Adelaide,40106,Prospect - Walkerville,agriculture,149,15356
Adelaide,40106,Prospect - Walkerville,arts_recreation_services,571,7298
Adelaide,40106,Prospect - Walkerville,construction,1004,45613
Adelaide,40106,Prospect - Walkerville,education_training,2533,45575
Adelaide,40106,Prospect - Walkerville,electricity,188,107650
Adelaide,40106,Prospect - Walkerville,finance_insurance_services,1053,52324
Adelaide,40106,Prospect - Walkerville,health_care_social_assistance,4542,45776
Adelaide,40106,Prospect - Walkerville,information_media_telecommunications,377,53305
Adelaide,40106,Prospect - Walkerville,manufacturing,1292,47865
Adelaide,40106,Prospect - Walkerville,mining,184,116240
Adelaide,40106,Prospect - Walkerville,other_services,749,29500
Adelaide,40106,Prospect - Walkerville,professional,2313,53880
Adelaide,40106,Prospect - Walkerville,public_administration_safety,1875,68164
Adelaide,40106,Prospect - Walkerville,rental,494,37768
Adelaide,40106,Prospect - Walkerville,retail_trade,2375,16188
Adelaide,40106,Prospect - Walkerville,total,26001,32177
Adelaide,40106,Prospect - Walkerville,transport,495,48425
Adelaide,40106,Prospect - Walkerville,wholesale_trade,814,51380
Adelaide,40107,Unley,accommodation_food_services,3091,7036
Adelaide,40107,Unley,administrative_support_services,2448,12441
Adelaide,40107,Unley,agriculture,186,14881
Adelaide,40107,Unley,arts_recreation_services,760,9180
Adelaide,40107,Unley,construction,1001,48323
Adelaide,40107,Unley,education_training,3444,35192
Adelaide,40107,Unley,electricity,245,116768
Adelaide,40107,Unley,finance_insurance_services,1321,59648
Adelaide,40107,Unley,health_care_social_assistance,5538,45362
Adelaide,40107,Unley,information_media_telecommunications,489,50670
Adelaide,40107,Unley,manufacturing,1200,43221
Adelaide,40107,Unley,mining,329,159574
Adelaide,40107,Unley,other_services,851,25063
Adelaide,40107,Unley,professional,3372,61189
Adelaide,40107,Unley,public_administration_safety,2221,64102
Adelaide,40107,Unley,rental,618,35397
Adelaide,40107,Unley,retail_trade,2516,14800
Adelaide,40107,Unley,total,31379,32158
Adelaide,40107,Unley,transport,518,51092
Adelaide,40107,Unley,wholesale_trade,925,53898
Adelaide,40201,Gawler - Two Wells,accommodation_food_services,1970,8164
Adelaide,40201,Gawler - Two Wells,administrative_support_services,2507,17275
Adelaide,40201,Gawler - Two Wells,agriculture,593,30324
Adelaide,40201,Gawler - Two Wells,arts_recreation_services,382,8283
Adelaide,40201,Gawler - Two Wells,construction,2307,52196
Adelaide,40201,Gawler - Two Wells,education_training,2370,39483
Adelaide,40201,Gawler - Two Wells,electricity,276,79882
Adelaide,40201,Gawler - Two Wells,finance_insurance_services,920,34760
Adelaide,40201,Gawler - Two Wells,health_care_social_assistance,4245,36716
Adelaide,40201,Gawler - Two Wells,information_media_telecommunications,180,42392
Adelaide,40201,Gawler - Two Wells,manufacturing,2439,57054
Adelaide,40201,Gawler - Two Wells,mining,320,102045
Adelaide,40201,Gawler - Two Wells,other_services,1033,32361
Adelaide,40201,Gawler - Two Wells,professional,1427,42392
Adelaide,40201,Gawler - Two Wells,public_administration_safety,2134,74724
Adelaide,40201,Gawler - Two Wells,rental,520,42791
Adelaide,40201,Gawler - Two Wells,retail_trade,3182,21676
Adelaide,40201,Gawler - Two Wells,total,29637,35689
Adelaide,40201,Gawler - Two Wells,transport,1317,52104
Adelaide,40201,Gawler - Two Wells,wholesale_trade,1295,52619
Adelaide,40202,Playford,accommodation_food_services,4874,7738
Adelaide,40202,Playford,administrative_support_services,9222,13889
Adelaide,40202,Playford,agriculture,1074,20440
Adelaide,40202,Playford,arts_recreation_services,851,7766
Adelaide,40202,Playford,construction,4725,43591
Adelaide,40202,Playford,education_training,3700,37355
Adelaide,40202,Playford,electricity,670,65319
Adelaide,40202,Playford,finance_insurance_services,2371,30152
Adelaide,40202,Playford,health_care_social_assistance,11785,31350
Adelaide,40202,Playford,information_media_telecommunications,415,36867
Adelaide,40202,Playford,manufacturing,6682,49044
Adelaide,40202,Playford,mining,573,81207
